Thème,Difficulté question,Questions,A,B,C,D,Réponse
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Poor Things"" (2023)?",Ari Aster,Robert Eggers,Yorgos Lanthimos,David Fincher,D
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on une femme créée par un scientifique qui explore le monde?,The Bride of Frankenstein,Frankenstein,Poor Things,Victor Frankenstein,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Anatomy of a Fall"" (2023)?",Céline Sciamma,Claude Chabrol,François Ozon,Justine Triet,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on une femme accusée du meurtre de son mari?,Double Indemnity,Anatomy of a Fall,Rebecca,Gaslight,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Past Lives"" (2023)?",Sean Baker,Barry Jenkins,Celine Song,Lulu Wang,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on deux amoureux qui se retrouvent après des années?,The Farewell,Everything Everywhere All at Once,Past Lives,Nomadland,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Golda"" (2023)?",David Fincher,Steven Spielberg,Christopher Nolan,Guy Nattiv,A
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on la vie de la première ministre israélienne Golda Meir?,Schindler's List,Munich,Exodus,Golda,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Zone of Interest"" (2023)?",Christopher Nolan,Jonathan Glazer,Steven Spielberg,Denis Villeneuve,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un commandant nazi et sa famille vivre à côté d'un camp?,Schindler's List,The Pianist,Resnais's film,The Zone of Interest,D
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Iron Claw"" (2023)?",Ryan Coogler,Sean Durkin,Jon Favreau,James Gunn,A
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on la vie d'une famille de catcheurs?,Raging Bull,Rocky,The Iron Claw,The Wrestler,A
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""American Fiction"" (2023)?",Ava DuVernay,Boots Riley,Ryan Coogler,Cord Jefferson,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un écrivain noir qui critique les stéréotypes hollywoodiens?,American Fiction,Get Out,Everything Everywhere All at Once,Parasite,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Hypnotic"" (2023)?",Ari Aster,David Fincher,Robert Eggers,Robert Rodriguez,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un détective affronter un criminel hypnotiseur?,Now You See Me,Hypnotic,The Prestige,Inception,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""A Thousand and One"" (2023)?",A.V. Rockwell,Barry Jenkins,Sean Baker,Boots Riley,D
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un homme qui élève un enfant dans les rues de New York?,The Florida Project,A Thousand and One,C'mon C'mon,Moonlight,B
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on la vie tragique des frères Von Erich dans le catch professionnel?,The Wrestler,Rocky,Raging Bull,The Iron Claw,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Origin"" (2023)?",Sean Baker,Barry Jenkins,Ryan Coogler,Ava DuVernay,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on l'histoire de Chiwetel Ejiofor?,Moonlight,Origin,The Farewell,Everything Everywhere All at Once,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""The Eternal Memory"" (2023)?",Marilena Mora & Álvaro Fuentes,Alejandro González Iñárritu,Pedro Almodóvar,Julio Medem,C
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un couple affronter l'oubli?,The Eternal Memory,Away From Her,The Notebook,Still Alice,C
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Beau Is Afraid"" (2023)?",Robert Eggers,Ari Aster,Christopher Nolan,David Fincher,A
Cinéma & Films,Intermédiaire,Dans quel film de 2023 voit-on un homme anxieux dans une aventure surréaliste?,Midsommar,Hereditary,Beau Is Afraid,Uncut Gems,B
Cinéma & Films,Intermédiaire,"Quel réalisateur a créé ""Talk to Me"" (2022)?",David Fincher,Danny and Michael Philippou,Robert Eggers,Ari Aster,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Spring Breakers"" (2012)?",Harmony Korine,David Fincher,Robert Eggers,Ari Aster,A
Cinéma & Films,Expert,Dans quel film de 2012 voit-on un groupe de jeunes femmes en vacances?,Mean Girls,The Sisterhood of the Traveling Pants,Pitch Perfect,Spring Breakers,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Gerry"" (2002)?",David Fincher,Harmony Korine,Gus Van Sant,Christopher Nolan,D
Cinéma & Films,Expert,Dans quel film de 2002 voit-on deux hommes qui se perdent dans le désert?,The Road,A Prophet,Into the Wild,Gerry,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Elephant"" (2003)?",Gus Van Sant,Harmony Korine,David Fincher,Christopher Nolan,B
Cinéma & Films,Expert,Dans quel film de 2003 voit-on la reconstruction d'une fusillade scolaire?,Elephant,Zero Day,We Need to Talk About Kevin,Bowling for Columbine,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Paranoid Park"" (2007)?",David Fincher,Harmony Korine,Christopher Nolan,Gus Van Sant,D
Cinéma & Films,Expert,Dans quel film de 2007 voit-on un jeune skateboarder impliqué dans un meurtre?,The Skate Parks,Mid90s,Kids,Paranoid Park,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Milk"" (2008)?",Harmony Korine,David Fincher,Christopher Nolan,Gus Van Sant,B
Cinéma & Films,Expert,"Dans quel film de 2008 voit-on la vie de Harvey Milk, le politicien gay?",Moonlight,Milk,My Own Private Idaho,Brokeback Mountain,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""My Own Private Idaho"" (1991)?",Christopher Nolan,Harmony Korine,David Fincher,Gus Van Sant,D
Cinéma & Films,Expert,Dans quel film de 1991 voit-on deux jeunes hommes en marge de la société?,Drugstore Cowboy,My Own Private Idaho,Liquid Sky,Kids,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Drugstore Cowboy"" (1989)?",Harmony Korine,David Fincher,Christopher Nolan,Gus Van Sant,C
Cinéma & Films,Expert,Dans quel film de 1989 voit-on des toxicomanes qui commettent des braquages?,Drugstore Cowboy,Trainspotting,Fear and Loathing in Las Vegas,Requiem for a Dream,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Mala Noche"" (1985)?",Gus Van Sant,David Fincher,Harmony Korine,Christopher Nolan,C
Cinéma & Films,Expert,Dans quel film de 1985 voit-on un poète amoureux d'un migrant illégal?,Mala Noche,Drugstore Cowboy,Midnight Cowboy,My Own Private Idaho,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Chungking Express"" (1994)?",Wong Kar-wai,Kar-wai Wong,Park Chan-wook,Bong Joon-ho,C
Cinéma & Films,Expert,Dans quel film de 1994 voit-on deux policiers qui tombent amoureux dans Hong Kong?,Fallen Angels,2046,Chungking Express,In the Mood for Love,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""In the Mood for Love"" (2000)?",Bong Joon-ho,Park Chan-wook,Wong Kar-wai,Lee Chang-dong,A
Cinéma & Films,Expert,Dans quel film de 2000 voit-on deux voisins qui découvrent que leurs conjoints ont une affair?,In the Mood for Love,Chungking Express,Happy Together,2046,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""2046"" (2004)?",Bong Joon-ho,Lee Chang-dong,Wong Kar-wai,Park Chan-wook,B
Cinéma & Films,Expert,Dans quel film de 2004 voit-on un écrivain qui crée une histoire de science-fiction?,Happy Together,In the Mood for Love,Chungking Express,2046,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Fallen Angels"" (1995)?",Bong Joon-ho,Wong Kar-wai,Lee Chang-dong,Park Chan-wook,D
Cinéma & Films,Expert,Dans quel film de 1995 voit-on deux tueurs à gages dans Hong Kong?,In the Mood for Love,Fallen Angels,Hard Boiled,Chungking Express,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Happy Together"" (1997)?",Bong Joon-ho,Lee Chang-dong,Park Chan-wook,Wong Kar-wai,B
Cinéma & Films,Expert,Dans quel film de 1997 voit-on deux hommes voyager en Argentine?,Chungking Express,In the Mood for Love,Fallen Angels,Happy Together,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Ashes of Time"" (1994)?",Wong Kar-wai,Park Chan-wook,Bong Joon-ho,Lee Chang-dong,B
Cinéma & Films,Expert,Dans quel film de 1994 voit-on des guerriers dans un univers de wuxia (arts martiaux)?,In the Mood for Love,Ashes of Time,Chungking Express,"Crouching Tiger, Hidden Dragon",C
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Grandmaster"" (2013)?",Bong Joon-ho,Wong Kar-wai,Lee Chang-dong,Park Chan-wook,A
Cinéma & Films,Expert,Dans quel film de 2013 voit-on la vie d'un maître d'arts martiaux?,Ip Man,"Crouching Tiger, Hidden Dragon",The Grandmaster,Hero,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Thelovesong.com"" (2013)?",Ciao,Wong Kar-wai,Bong Joon-ho,Park Chan-wook,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Moonrise Kingdom"" (2012)?",Sofia Coppola,Wes Anderson,Greta Gerwig,Claire Denis,A
Cinéma & Films,Expert,Dans quel film de 2012 voit-on deux enfants qui s'enfuient ensemble?,Moonrise Kingdom,The Life Aquatic,Rushmore,The Grand Budapest Hotel,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Grand Budapest Hotel"" (2014)?",Sofia Coppola,Wes Anderson,Greta Gerwig,Claire Denis,B
Cinéma & Films,Expert,Dans quel film de 2014 voit-on un concierge et son protégé dans un hôtel?,Rushmore,The Grand Budapest Hotel,Moonrise Kingdom,Fantastic Mr. Fox,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Rushmore"" (1998)?",Wes Anderson,Sofia Coppola,Greta Gerwig,Claire Denis,D
Cinéma & Films,Expert,Dans quel film de 1998 voit-on un adolescent passionné par son école?,Fantastic Mr. Fox,The Grand Budapest Hotel,Moonrise Kingdom,Rushmore,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Bottle Rocket"" (1996)?",Sofia Coppola,Greta Gerwig,Wes Anderson,Claire Denis,D
Cinéma & Films,Expert,Dans quel film de 1996 voit-on deux amis qui deviennent criminels?,Bottle Rocket,Rushmore,Fantastic Mr. Fox,Moonrise Kingdom,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Fantastic Mr. Fox"" (2009)?",Claire Denis,Sofia Coppola,Wes Anderson,Greta Gerwig,C
Cinéma & Films,Expert,Dans quel film de 2009 voit-on un renard qui vole des fermes?,Rushmore,Moonrise Kingdom,The Grand Budapest Hotel,Fantastic Mr. Fox,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Life Aquatic with Steve Zissou"" (2004)?",Sofia Coppola,Claire Denis,Greta Gerwig,Wes Anderson,D
Cinéma & Films,Expert,Dans quel film de 2004 voit-on un océanographe qui cherche un requin?,The Grand Budapest Hotel,Rushmore,The Life Aquatic with Steve Zissou,Moonrise Kingdom,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Darjeeling Limited"" (2007)?",Greta Gerwig,Sofia Coppola,Wes Anderson,Claire Denis,C
Cinéma & Films,Expert,Dans quel film de 2007 voit-on trois frères en voyage en Inde?,Moonrise Kingdom,The Grand Budapest Hotel,Rushmore,The Darjeeling Limited,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Asteroid City"" (2023)?",Claire Denis,Greta Gerwig,Wes Anderson,Sofia Coppola,A
Cinéma & Films,Expert,Dans quel film de 2023 voit-on une ville désertique pendant un festival?,The Grand Budapest Hotel,Asteroid City,Moonrise Kingdom,Rushmore,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""The French Dispatch"" (2021)?",Greta Gerwig,Sofia Coppola,Wes Anderson,Claire Denis,D
Cinéma & Films,Expert,Dans quel film de 2021 voit-on un journal américain dans une ville française?,The Grand Budapest Hotel,The French Dispatch,Rushmore,Moonrise Kingdom,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Marie Antoinette"" (2006)?",Claire Denis,Greta Gerwig,Wes Anderson,Sofia Coppola,D
Cinéma & Films,Expert,Dans quel film de 2006 voit-on la vie de la reine Marie-Antoinette?,The Affair,The Favourite,Versailles,Marie Antoinette,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Virgin Suicides"" (1999)?",Greta Gerwig,Wes Anderson,Sofia Coppola,Claire Denis,B
Cinéma & Films,Expert,Dans quel film de 1999 voit-on les suicides de cinq sœurs?,The Virgin Suicides,Suspiria,Ichi the Killer,The Killing of a Sacred Deer,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Lost in Translation"" (2003)?",Claire Denis,Sofia Coppola,Greta Gerwig,Wes Anderson,A
Cinéma & Films,Expert,Dans quel film de 2003 voit-on un acteur qui se lie d'amitié avec une jeune femme à Tokyo?,The Bling Ring,Lost in Translation,The Virgin Suicides,Marie Antoinette,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Bling Ring"" (2013)?",Sofia Coppola,Greta Gerwig,Claire Denis,Wes Anderson,B
Cinéma & Films,Expert,Dans quel film de 2013 voit-on des adolescents qui cambriolent des maisons de célébrités?,The Bling Ring,The Virgin Suicides,Marie Antoinette,Lost in Translation,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""On the Rocks"" (2020)?",Greta Gerwig,Sofia Coppola,Wes Anderson,Claire Denis,D
Cinéma & Films,Expert,Dans quel film de 2020 voit-on une femme qui enquête sur la fidélité de son mari?,On the Rocks,Marie Antoinette,The Bling Ring,Lost in Translation,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Somewhere"" (2010)?",Sofia Coppola,Greta Gerwig,Wes Anderson,Claire Denis,C
Cinéma & Films,Expert,Dans quel film de 2010 voit-on un acteur qui vit dans la solitude à Hollywood?,Somewhere,Marie Antoinette,The Virgin Suicides,Lost in Translation,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Lady Bird"" (2017)?",Claire Denis,Wes Anderson,Sofia Coppola,Greta Gerwig,A
Cinéma & Films,Expert,Dans quel film de 2017 voit-on une adolescente qui s'oppose à sa mère?,The Bling Ring,Marie Antoinette,Lady Bird,Lost in Translation,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Little Women"" (2019)?",Sofia Coppola,Greta Gerwig,Claire Denis,Wes Anderson,C
Cinéma & Films,Expert,Dans quel film de 2019 voit-on l'adaptation du roman de Louisa May Alcott?,Little Women,Lady Bird,The Bling Ring,Lost in Translation,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Barbie"" (2023)?",Greta Gerwig,Claire Denis,Sofia Coppola,Wes Anderson,C
Cinéma & Films,Expert,Dans quel film de 2023 voit-on Barbie et Ken explorer le monde réel?,Inception,Toy Story,The Truman Show,Barbie,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Nights and Weekends"" (2008)?",Wes Anderson,Greta Gerwig,Claire Denis,Sofia Coppola,B
Cinéma & Films,Expert,Dans quel film de 2008 voit-on deux amoureux en relation longue distance?,Lady Bird,Barbie,Nights and Weekends,Little Women,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Greenberg"" (2010)?",Greta Gerwig,Noah Baumbach,Sofia Coppola,Wes Anderson,D
Cinéma & Films,Expert,Dans quel film de 2010 voit-on un homme en crise existentielle?,Little Women,Lady Bird,Greenberg,Barbie,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""Frances Ha"" (2012)?",Sofia Coppola,Greta Gerwig,Wes Anderson,Noah Baumbach,A
Cinéma & Films,Expert,Dans quel film de 2012 voit-on une danseuse qui lutte pour réussir à New York?,Lady Bird,Frances Ha,Little Women,Barbie,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""While We're Young"" (2014)?",Wes Anderson,Noah Baumbach,Sofia Coppola,Greta Gerwig,A
Cinéma & Films,Expert,Dans quel film de 2014 voit-on un couple d'âge moyen qui se lie d'amitié avec des jeunes?,Barbie,Lady Bird,Little Women,While We're Young,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Squid and the Whale"" (2005)?",Noah Baumbach,Sofia Coppola,Wes Anderson,Greta Gerwig,D
Cinéma & Films,Expert,Dans quel film de 2005 voit-on une famille en proie à un divorce difficile?,Little Women,The Squid and the Whale,Barbie,Lady Bird,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Kicking and Screaming"" (1995)?",Noah Baumbach,Wes Anderson,Sofia Coppola,Greta Gerwig,B
Cinéma & Films,Expert,Dans quel film de 1995 voit-on des jeunes diplômés en transition vers l'âge adulte?,Greenberg,The Squid and the Whale,Kicking and Screaming,While We're Young,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Marriage Story"" (2019)?",Noah Baumbach,Greta Gerwig,Wes Anderson,Sofia Coppola,C
Cinéma & Films,Expert,Dans quel film de 2019 voit-on un couple en proie au divorce?,Marriage Story,Lady Bird,Barbie,Little Women,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Meyerowitz Stories"" (2017)?",Wes Anderson,Noah Baumbach,Sofia Coppola,Greta Gerwig,B
Cinéma & Films,Expert,Dans quel film de 2017 voit-on trois enfants d'un artiste dysfonctionna?,Little Women,The Meyerowitz Stories,Lady Bird,Marriage Story,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Mistress America"" (2015)?",Greta Gerwig,Noah Baumbach,Wes Anderson,Sofia Coppola,D
Cinéma & Films,Expert,Dans quel film de 2015 voit-on une jeune femme qui rencontre sa demi-sœur?,Barbie,Mistress America,Lady Bird,Little Women,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Caveat"" (2020)?",Robert Eggers,David Fincher,Damian Mc Carthy,Ari Aster,C
Cinéma & Films,Expert,Dans quel film de 2020 voit-on un homme avec amnésie sur une île mystérieuse?,The Lighthouse,Midsommar,Hereditary,Caveat,A
Cinéma & Films,Expert,"Quel réalisateur a créé ""Lamb"" (2021)?",Robert Eggers,David Fincher,Ari Aster,Valdímur Jóhannsson,C
Cinéma & Films,Expert,Dans quel film de 2021 voit-on un couple découvrant un agneau étrange?,Lamb,Hereditary,The Lighthouse,Midsommar,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Men"" (2022)?",Robert Eggers,Ari Aster,Alex Garland,David Fincher,A
Cinéma & Films,Expert,Dans quel film de 2022 voit-on une femme hantée par un homme dupliqué?,The Lighthouse,Hereditary,Men,Midsommar,B
Cinéma & Films,Expert,"Quel réalisateur a créé ""Annihilation"" (2018)?",David Fincher,Robert Eggers,Ari Aster,Alex Garland,A
Cinéma & Films,Expert,Dans quel film de 2018 voit-on une zone mystérieuse qui se propage?,The Lighthouse,Midsommar,Annihilation,Hereditary,C
Cinéma & Films,Expert,"Quel réalisateur a créé ""Ex Machina"" (2014)?",Alex Garland,Ari Aster,David Fincher,Robert Eggers,A
Cinéma & Films,Expert,Dans quel film de 2014 voit-on un robot humanoïde qui peut tromper les humains?,The Lighthouse,Ex Machina,Midsommar,Hereditary,D
Cinéma & Films,Expert,"Quel réalisateur a créé ""The Killing of a Sacred Deer"" (2017)?",Robert Eggers,David Fincher,Ari Aster,Yorgos Lanthimos,A
